Year,Start Date,End Date,Days Active,Storm Name,Storm Category,Max Wind (mph),Min Pressure mbar,Damage $millions,Deaths,Caribbean,Florida,US Gulf Coast,US East Coast,Canada,Mexico,Central America,Africa
1998,8/24/1998,9/3/1998,11,Danielle,2,105,960,0.05,0,1,0,0,1,1,0,0,0
1998,8/31/1998,9/3/1998,4,Earl,2,100,985,79,3,0,1,0,0,0,1,0,0
1998,9/15/1998,10/1/1998,17,Georges,4,155,937,9720,604,1,0,1,0,0,0,0,0
1998,9/19/1998,9/27/1998,9,Ivan,1,90,975,0,0,0,0,0,0,0,0,0,0
1998,9/21/1998,10/1/1998,11,Jeanne,2,105,969,0,0,0,0,0,0,0,0,0,0
1998,9/23/1998,9/28/1998,6,Karl,2,105,970,0,0,0,0,0,0,0,0,0,0
1998,10/5/1998,10/9/1998,5,Lisa,1,75,995,0,0,0,0,0,0,0,0,0,0
1998,10/22/1998,11/5/1998,15,Mitch,5,180,905,6200,19325,1,1,0,0,0,0,0,0
1998,11/24/1998,12/1/1998,8,Nicole,1,85,979,0,0,0,0,0,0,0,0,0,0
1997,7/11/1997,7/13/1997,3,Bill,1,75,986,0,0,0,0,0,0,1,0,0,0
1997,7/16/1997,7/26/1997,11,Danny,1,80,984,100,9,0,0,1,1,0,0,0,0
1997,9/3/1997,9/20/1997,18,Erika,3,125,946,10,2,1,0,0,0,0,0,0,1
1996,7/5/1996,7/14/1996,10,Bertha,3,115,960,335,12,1,0,0,1,0,0,0,0
1996,7/24/1996,7/29/1996,6,Cesar,1,85,985,203,113,1,0,0,0,0,1,0,0
1996,8/19/1996,8/26/1996,8,Dolly,1,80,989,0,14,0,0,0,0,0,1,0,0
1996,8/19/1996,9/3/1996,16,Edouard,4,145,933,20,2,0,0,0,1,1,0,0,0
1996,8/23/1996,9/8/1996,17,Fran,3,120,946,3200,37,0,0,0,1,1,0,0,0
1996,9/3/1996,9/16/1996,14,Hortense,4,140,935,158,39,1,0,0,0,1,0,0,0
1996,9/24/1996,10/1/1996,8,Isidore,3,115,960,0,0,0,0,0,0,0,0,0,0
1996,10/14/1996,10/27/1996,14,Lili,3,115,960,662,22,1,0,0,0,0,0,1,0
1996,11/16/1996,11/26/1996,11,Marco,1,75,983,8.2,14,1,0,0,0,0,0,1,0
1995,6/2/1995,6/10/1995,9,Allison,1,75,987,1.7,1,1,1,0,1,0,0,0,0
1995,7/31/1995,8/6/1995,7,Erin,2,100,973,700,13,0,1,0,1,0,0,0,0
1995,8/8/1995,8/22/1995,15,Felix,4,140,929,3.63,9,1,0,0,1,1,0,0,0
1995,8/21/1995,9/1/1995,12,Humberto,2,110,968,0,0,0,0,0,0,0,0,0,0
1995,8/27/1995,9/11/1995,16,Luis,4,140,935,3000,19,1,0,0,1,1,0,0,0
1995,9/12/1995,9/22/1995,11,Marilyn,3,115,949,2500,13,1,0,0,0,0,0,0,0
1995,9/26/1995,10/7/1995,12,Noel,1,75,987,0,0,0,0,0,0,0,0,0,0
1995,9/27/1995,10/5/1995,9,Opal,4,150,916,5100,77,0,1,0,1,1,1,0,0
1995,10/7/1995,10/21/1995,15,Roxanne,3,115,956,1500,29,0,0,0,0,0,1,0,0
1994,8/16/1994,8/23/1994,8,Chris,1,80,979,0,0,1,0,0,0,0,0,0,0
1994,11/2/1994,11/8/1994,7,Florence,2,110,972,0,0,0,0,0,0,0,0,0,0
1994,11/8/1994,11/21/1994,14,Gordon,1,85,980,594,1147,1,1,0,1,0,0,1,0
1993,8/22/1993,9/6/1993,16,Emily,3,115,960,35,3,0,0,0,1,0,0,0,0
1993,9/14/1993,9/21/1993,8,Gert,2,100,970,170,116,0,0,0,0,0,1,1,0
1993,9/18/1993,9/21/1993,4,Harvey,1,75,990,0,0,0,0,0,0,0,0,0,0
1992,8/16/1992,8/28/1992,13,Andrew,5,175,922,26500,65,1,1,1,1,0,0,0,0
1992,10/23/1992,10/27/1992,5,Frances,1,85,976,0,0,0,0,0,0,1,0,0,0
1991,8/16/1991,8/20/1991,5,Bob,3,115,950,1500,17,0,0,0,1,1,0,0,0
1991,9/4/1991,9/14/1991,11,Claudette,4,130,944,0,0,1,0,0,0,0,0,0,0
1991,10/25/1991,10/29/1991,5,Grace,2,105,980,0,0,0,0,0,0,0,0,0,0
1991,10/31/1991,11/2/1991,3,Perfect Storm,1,75,972,200,13,0,0,0,1,1,0,0,0
1990,7/24/1990,8/2/1990,10,Bertha,1,80,973,3.91,9,0,1,0,0,1,0,0,0
1990,8/4/1990,8/9/1990,6,Diana,2,100,980,90.7,139,0,0,0,0,0,1,0,0
1990,8/24/1990,9/3/1990,11,Gustav,3,120,956,0,0,1,0,0,0,0,0,0,0
1990,9/4/1990,9/17/1990,14,Isidore,2,100,978,0,0,0,0,0,0,0,0,0,0
1990,9/12/1990,10/6/1990,25,Josephine,1,85,980,0,0,0,0,0,0,0,0,0,0
1990,10/3/1990,10/9/1990,7,Klaus,1,80,985,1,11,1,0,0,0,0,0,0,0
