id,decade,year,month,date,co2raw,co2adj,days
346,1980s,1986,Dec,1986.958,346.89,347.81,24
347,1980s,1987,Jan,1987.042,348.2,348.12,26
348,1980s,1987,Feb,1987.125,348.55,347.85,25
349,1980s,1987,Mar,1987.208,349.56,348.12,22
350,1980s,1987,Apr,1987.292,351.12,348.59,26
351,1980s,1987,May,1987.375,351.84,348.75,27
352,1980s,1987,Jun,1987.458,351.45,349.09,21
353,1980s,1987,Jul,1987.542,349.77,349.08,16
354,1980s,1987,Aug,1987.625,347.62,349.16,14
355,1980s,1987,Sep,1987.708,346.37,349.57,23
356,1980s,1987,Oct,1987.792,346.48,349.74,22
357,1980s,1987,Nov,1987.875,347.8,349.92,22
358,1980s,1987,Dec,1987.958,349.03,349.92,27
359,1980s,1988,Jan,1988.042,350.23,350.18,24
360,1980s,1988,Feb,1988.125,351.58,350.87,24
361,1980s,1988,Mar,1988.208,352.22,350.71,25
362,1980s,1988,Apr,1988.292,353.53,350.87,27
363,1980s,1988,May,1988.375,354.14,350.96,28
364,1980s,1988,Jun,1988.458,353.64,351.26,26
365,1980s,1988,Jul,1988.542,352.53,351.9,27
366,1980s,1988,Aug,1988.625,350.42,351.97,26
367,1980s,1988,Sep,1988.708,348.84,352.04,27
368,1980s,1988,Oct,1988.792,348.94,352.21,26
369,1980s,1988,Nov,1988.875,349.99,352.16,25
370,1980s,1988,Dec,1988.958,351.29,352.21,28
371,1980s,1989,Jan,1989.042,352.72,352.63,27
372,1980s,1989,Feb,1989.125,353.1,352.37,25
373,1980s,1989,Mar,1989.208,353.64,352.17,29
374,1980s,1989,Apr,1989.292,355.43,352.76,28
375,1980s,1989,May,1989.375,355.7,352.47,28
376,1980s,1989,Jun,1989.458,355.11,352.69,26
377,1980s,1989,Jul,1989.542,353.79,353.16,25
378,1980s,1989,Aug,1989.625,351.42,353.03,24
379,1980s,1989,Sep,1989.708,349.83,353.08,23
380,1980s,1989,Oct,1989.792,350.1,353.35,25
381,1980s,1989,Nov,1989.875,351.26,353.43,27
382,1980s,1989,Dec,1989.958,352.66,353.61,27
383,1990s,1990,Jan,1990.042,353.63,353.55,25
384,1990s,1990,Feb,1990.125,354.72,354.01,28
385,1990s,1990,Mar,1990.208,355.49,354.02,28
386,1990s,1990,Apr,1990.292,356.1,353.49,28
387,1990s,1990,May,1990.375,357.08,353.9,29
388,1990s,1990,Jun,1990.458,356.11,353.7,29
