NAME,TEAM,POS,SALARY
Mike Montgomery,CHC,RP,2440000
Eloy Jimenez,CWS,LF,2333333
Craig Stammen,SD,RP,2250000
Chris Martin,TEX,RP,2250000
Merrill Kelly,ARI,SP,2250000
Jonny Venters,ATL,RP,2250000
Jared Hughes,CIN,RP,2250000
Vince Velasquez,PHI,SP,2249000
Junior Guerra,MIL,SP,2225000
Jake Marisnick,HOU,OF,2212500
Brad Boxberger,KC,RP,2200000
Mychal Givens,BAL,RP,2150000
Liam Hendriks,OAK,RP,2150000
Anthony DeSclafani,CIN,SP,2125000
Pedro Baez,LAD,RP,2100000
Austin Hedges,SD,C,2060000
Mark Canha,OAK,OF,2050000
Jordan Lyles,PIT,SP,2050000
Brian McCann,ATL,C,2000000
Daniel Descalso,CHC,2B,2000000
Neil Walker,MIA,1B,2000000
Paul DeJong,STL,SS,2000000
Adam Wainwright,STL,SP,2000000
Shelby Miller,TEX,SP,2000000
Edinson Volquez,TEX,SP,2000000
Zach Duke,CIN,RP,2000000
Robbie Grossman,OAK,LF,2000000
Josh Harrison,DET,2B,2000000
Derek Dietrich,CIN,LF,2000000
Aledmys Diaz,HOU,SS,2000000
Logan Forsythe,TEX,2B,2000000
Hunter Pence,TEX,LF,2000000
Michael Lorenzen,CIN,RP,1950000
Domingo Santana,SEA,LF,1950000
Andrew Chafin,ARI,RP,1945000
Lourdes Gurriel Jr.,TOR,2B,1928571
Jose Alvarez,PHI,RP,1925000
Devon Travis,TOR,2B,1925000
JC Ramirez,LAA,SP,1901000
Archie Bradley,ARI,RP,1830000
Hector Neris,PHI,RP,1800000
Austin Romine,NYY,C,1800000
Blake Parker,MIN,RP,1800000
Francisco Liriano,PIT,RP,1800000
Tyler Thornburg,BOS,RP,1750000
Cam Bedrosian,LAA,RP,1750000
Byron Buxton,MIN,CF,1750000
Tim Beckham,SEA,SS,1750000
Manny Pina,MIL,C,1750000
Curtis Granderson,MIA,LF,1750000
Gerardo Parra,SF,RF,1750000
Yangervis Solarte,SF,3B,1750000
Kyle Barraclough,WSH,RP,1725000
Jose Leclerc,TEX,RP,1687500
Chris Rusin,COL,RP,1687500
Luis Garcia,LAA,RP,1675000
Scott Kingery,PHI,2B,1666666
Matt Barnes,BOS,RP,1600000
Blake Snell,TB,SP,1600000
Luis Avilan,NYM,RP,1600000
Leury Garcia,CWS,OF,1550000
Taylor Rogers,MIN,RP,1525000
Chris Devenski,HOU,RP,1525000
Ryan Tepera,TOR,RP,1525000
Carl Edwards Jr.,CHC,RP,1500000
Cory Gearrin,SEA,RP,1500000
Drew Pomeranz,SF,SP,1500000
Brett Anderson,OAK,SP,1500000
Matt Wieters,STL,C,1500000
Daniel Hudson,TOR,RP,1500000
Robbie Erlin,SD,SP,1450000
T.J. McFarland,ARI,RP,1450000
Tim Anderson,CWS,SS,1400000
Ryan Buchter,OAK,RP,1400000
Hansel Robles,LAA,RP,1400000
Delino DeShields,TEX,CF,1400000
Aaron Loup,SD,RP,1400000
Charlie Culberson,ATL,SS,1395000
Tommy Kahnle,NYY,RP,1387500
Steven Wright,BOS,SP,1375000
Dan Otero,CLE,RP,1350000
Aaron Altherr,PHI,RF,1350000
