gender,ideal,height,armspan,forearm,hand,leg,foot,semester
male,72,68,63,16,6.5,17,7.5,F13
male,70,68,65.5,17,8.75,22.25,10.5,F13
male,72,68,67.5,18,8.5,20.25,10.5,F13
female,70,68,64,17,7.5,20,9.25,F15
male,67,68,68.5,16.5,7,12.5,9.5,F15
male,73,68,69,17,7,17,10,F15
male,72,68,72,16.5,7,18,9.5,F15
female,68,68,69,17,7,18,9,S13
male,72,68,65,18,7.25,19,10.25,S13
male,70,68,67,18.5,7.5,20,10,S13
male,70,68,69,19,9,21,10,S13
male,72,68,72,18,7.75,20,10,S13
male,72,68,,18,8,18,11,S13
female,68,68,67,20,7,16.5,10,S14
female,68,68,67,18.5,7,17.5,10,S14
female,66,68,69.5,22.25,7.25,18,10,S14
female,68,68,70,18,7,17,9,S14
female,70,68,72.75,20,7.5,17.75,10,S14
male,74,68,67.5,17,7.5,17,10,S14
female,64,68,67,17,8,17,10,S16
male,74,68,66,17,7.5,22,11,S16
male,75,68,68,17,7.5,19,11,S16
male,72,68,70,17,7,18,10.5,S16
male,68,68,71,17,7,14,11,S16
male,74,68,71.25,18.25,7.5,19.5,10.5,S16
female,70,68,69,16.25,7.75,19,10,S17
male,72,68,69.5,17.5,7.5,19,10,S18
female,68,68,65,18,7,21,9.5,Sum13
female,71,68,74,18,8,18,10,Sum13
male,75,68,69.5,18,7.5,18,9.5,Sum13
male,72,68,68,18,7,18,11,Sum15
female,66,68,67,16,7,19,10,Sum16
female,72,68.25,70,17.5,7.25,20,10.25,S17
female,70,68.5,62,17,7.25,19,10.5,F13
male,72,68.5,67.75,17,7.5,18,10.25,F13
male,73,68.5,69,17,7.5,19,10.5,F15
male,70,68.5,70.5,18,7.5,24,10,S13
male,75,68.5,66,19,8,17,10.5,S14
male,72.25,68.5,69,18,7.25,17,9.5,S14
male,68.5,68.5,72.25,18.25,7.75,17.5,10.25,S14
male,68.5,68.5,72.25,18.25,7.75,17.5,10.25,S14
male,74,68.5,73,17.5,7,18,10,S16
female,67,68.5,69,16.25,6.8,18.5,9.5,S17
female,70,69,69.5,18,7.75,19,10.25,F13
male,72,69,65,17,6.5,19.5,10,F13
male,72,69,67,17,7,21,9.2,F13
male,74,69,67.5,17.25,7,14.5,11.5,F13
male,78,69,72,16,7.5,20,12,F13
male,70,69,69,17,7.25,16,10,F15
male,72,69,70.5,16.7,7.3,19.25,10.5,F15
male,72,69,74,17,8.5,19.5,10.5,F15
female,65,69,68,16.5,7,21,9.5,S13
female,67,69,68,18,7.5,19,10,S13
female,69,69,70,19.25,7,19,8,S13
male,73,69,68,16,7,16,10,S13
male,,69,68.5,18.5,7.5,19,9,S13
female,68.4,69,65.5,21.5,7,17,9.5,S14
female,65,69,68,19,6.75,17,11,S14
female,65,69,70,20,8,17.25,7.25,S14
female,69,69,71,18,7,19,10,S14
male,72,69,66.5,17,8,17.5,10,S14
male,72,69,69.25,17.5,7,18,10.5,S14
male,75,69,71,16.4,7.5,18.25,11.25,S14
male,74,69,72,17,8,17,10,S14
male,73,69,66.5,17,6.5,20,10,S16
male,69,69,71,18,7.25,20,10,S16
male,70,69,71,18,7.5,19.5,10,S16
male,74,69,74,19.5,8.5,22.5,11.5,S16
female,67,69,67,17,7.5,21,9,S17
male,84,69,69.5,18,8,20,10.75,S17
male,71,69,71.25,16.5,7.75,19.5,10.5,S17
male,75,69,71.5,17,8.25,18.5,10,S17
female,74,69,71,10.5,8,19,10.5,S18
female,70,69,68.5,17,7.5,21,9.5,S18
male,75,69,69.25,17.5,7,20,10,S18
male,72,69,64,16.75,6.5,15.5,9.75,Sum14
male,76,69,69,18,7,20.5,11,Sum14
female,69,69,68.5,17.25,7.75,19.5,10.75,Sum15
male,72,69,71,18,8.5,21,10,Sum15
male,72,69.25,69.25,17.5,7,17.25,10,F15
male,75,69.25,71,16.5,7.5,19.5,11,S17
male,72,69.25,70.25,19,8,22,10.5,Sum15
female,68,69.5,68.25,16.5,7.25,18.5,9.75,F15
female,67,69.5,69,19.5,7.5,16,7.25,S14
male,71,69.5,69,21.5,7.5,17.5,10.5,S14
male,73,69.5,70.5,19,9,19,10,S17
female,68,69.5,67,17,6.5,19.5,9.6,Sum13
male,72,69.5,68,18.5,8,20.5,10.5,Sum14
male,74,69.5,72,17.25,8,20.5,10,Sum15
male,72,69.5,74.5,18,7.75,20.5,10,Sum15
female,71,70,67.75,17.25,7.5,17.5,9.75,F13
male,74,70,69,18,7.5,20,11,F15
male,70,70,71,17.5,7.5,19.5,10.5,F15
male,76,70,74,19,8,18.5,11,F15
male,77,70,68,19,7.5,18,11,S13
male,70,70,69,18,7.5,20,11.5,S13
male,74,70,69,17.5,8,,10,S13
male,72,70,64.5,19.5,7,18,11.5,S14
male,72,70,69.5,22,7.5,18,11.5,S14
male,74,70,70.75,21,8,18.75,12,S14
male,72,70,69.5,17.5,7.5,19,11,S16
male,72,70,69.25,17.5,7,19.5,10,S17
male,72,70,70,18,8.25,20.5,11.25,Sum14
male,73,70,70,17,7.5,19.5,10,Sum15
female,68,70.5,69.5,17,7.5,17.25,10.25,F13
male,74,70.5,72.25,19,8,21.5,11,F13
male,100,70.5,72,18.5,7.5,20.5,11,F15
male,71.5,70.5,73,18,8.5,19,11,F15
male,76,70.5,69.25,17.75,7,19,10.5,S13
male,74,70.5,69.5,20,8,18,12.5,S14
male,76,70.5,71.5,19.5,8,16.5,10.5,S14
male,73,70.5,68.25,17.5,7.5,19,11,S17
male,73,70.5,70.5,18.5,7.5,20.5,11,S17
male,70,70.5,70.75,19.75,8.75,16,11.5,Sum15
male,75,70.5,72.1,18.5,7.2,21,10,Sum16
male,75,70.75,71.75,19,8,18,10.75,S14
female,72,71,71.5,16.5,7.25,21.75,9,F13
male,73,71,70,18,7,20,10,F13
male,78,71,70,17,8,20,11,F13
male,74,71,66,17.5,6.5,19,10,F15
male,74,71,68,18,8,19,12,S13
male,74,71,73,17.5,7.5,17,11,S13
male,72,71,70,19,7,18,11.5,S14
male,73,71,70.5,16,6.5,18,12,S14
male,72,71,71,19,8,16,12,S14
male,72,71,71.5,20,8,18.25,10.5,S14
male,77,71,70.5,18,7,19,10.75,S16
male,72,71,71,17,7.5,21,10.5,S16
male,73,71,72,19,9,23,11,S16
male,75,71,72,19,8,20,11,S16
male,74,71,74,19,8,20.5,11,S16
female,71,71,72.5,17.5,7,19,9.5,S17
male,74,71,69,17,7,19,9.5,S17
male,74,71,70,17,7,20,10,S17
male,71,71,70.5,18,7.5,19.5,10,S17
male,72,71,76,18.75,7.5,21.25,9.75,S17
male,74,71,66,16,6,16,8,Sum13
male,74,71,67.5,17,7,20,10,Sum13
male,75,71,70,19,8,,11,Sum13
male,75,71,68,18.5,8,21,9.5,Sum15
male,72,71,70.5,17.2,8,20,10.5,Sum15
male,75,71,73,18.5,8.5,19.5,10.5,Sum15
male,72,71,73.5,18.5,8,20,10.5,Sum15
other,74,71.25,72,18.5,8,18.5,11,S17
male,75,71.5,73,18.5,6.5,21,10.5,F13
male,76,71.5,76.25,20.25,8.25,22,11,F13
male,72,71.5,70.5,19,7.5,22,10.5,F15
male,74,71.5,71.5,19,7.5,20,10,F15
male,72,71.5,72.5,17,8,19,10.25,F15
male,73,71.5,74.5,20,8,21,11,F15
male,72,71.5,75.5,18.5,8,21,11,F15
female,71.5,71.5,73,17.5,7,19,10.5,S13
male,75,71.5,70.5,17.5,7.5,21,10,S13
male,72,71.5,71.5,17,8,18,10.5,S14
male,72,71.5,78,19,9,20,11.5,S16
male,75,71.5,69,17,7.5,19.5,10,S17
male,74,71.5,71.5,18.5,8,20,10.25,Sum15
male,72,71.5,72,19,8,22,12.25,Sum15
male,73,72,70.25,18.5,8,20.5,11.25,F13
male,74,72,71,19,7.5,23,10,F13
male,75,72,72,19,8,22,13,F13
male,78,72,73,18,8.25,20,12,F13
male,,72,71.5,18.5,8,19,10,F15
male,76,72,72,18,8.5,18,11,F15
male,84,72,72,18,7.5,21,11,F15
male,77,72,72.5,18.5,8.25,20,11.25,F15
male,70,72,75,19,8.5,20,11,F15
male,75,72,,,,,,F15
male,75,72,69,18,7.75,21,10.5,S13
male,72,72,69.5,17,7.5,19,10.5,S13
male,73,72,72,18.5,8,21,11.5,S13
male,74,72,74,20,7,20,11,S13
male,74,72,75,20,8,23.5,12,S13
male,74,72,77.5,19,7.5,20,11,S13
female,68,72,71,20,8,18,11,S14
male,74,72,69.75,18.5,7.5,18.5,12.25,S14
male,72,72,72,22,8,20,12.5,S14
male,73,72,72,19,7.25,18,10,S14
male,74,72,72.5,23,7.25,19.25,12,S14
male,73,72,74.5,20,8,20,12,S14
female,70,72,72,17.25,7.75,20.5,10,S16
male,74,72,72,18.5,7.5,21,11,S16
