name,team,position,state,division,salary,age
Dayan Viciedo,Chicago White Sox,Left fielder,Illinois,AL Central,2800000,23
Wade Davis,Kansas City Royals,Starting pitcher,Missouri,AL Central,2800000,26
Luke Scott,Tampa Bay Rays,Designated hitter,Florida,AL East,2750000,34
Sergio Santos,Toronto Blue Jays,Bullpen,Toronto,AL East,2750000,29
Raul Ibanez,Seattle Mariners,Left fielder,Washington,AL West,2750000,40
Geovany Soto,Texas Rangers,Catcher,Texas,AL West,2750000,29
Tom Gorzelanny,Milwaukee Brewers,Bullpen,Wisconsin,NL Central,2750000,29
Adeiny Hechavarria,Miami Marlins,Shortstop,Florida,NL East,2750000,23
Placido Polanco,Miami Marlins,Third baseman,Florida,NL East,2750000,36
Dustin Ackley,Seattle Mariners,Second baseman,Washington,AL West,2700000,24
Will Venable,San Diego Padres,Right fielder,California,NL West,2675000,29
Alfredo Aceves,Boston Red Sox,Bullpen,Massachusetts,AL East,2650000,29
Jeff Samardzija,Chicago Cubs,Starting pitcher,Illinois,NL Central,2640000,27
Emilio Bonifacio,Toronto Blue Jays,Utility,Toronto,AL East,2600000,27
Kris Medlen,Atlanta Braves,Starting pitcher,Georgia,NL East,2600000,26
Evan Longoria,Tampa Bay Rays,Third baseman,Florida,AL East,2500018,26
Glen Perkins,Minnesota Twins,Closer,Minnesota,AL Central,2500000,29
Fernando Rodney,Tampa Bay Rays,Closer,Florida,AL East,2500000,35
Rajai Davis,Toronto Blue Jays,Outfielder,Toronto,AL East,2500000,31
Scott Hairston,Chicago Cubs,Outfielder,Illinois,NL Central,2500000,32
Jason Grilli,Pittsburgh Pirates,Closer,Pennsylvania,NL Central,2500000,35
Jeff Karstens,Pittsburgh Pirates,Starting pitcher,Pennsylvania,NL Central,2500000,29
Ty Wigginton,St. Louis Cardinals,Utility,Missouri,NL Central,2500000,34
John Lannan,Philadelphia Phillies,Starting pitcher,Pennsylvania,NL East,2500000,27
Drew Storen,Washington Nationals,Bullpen,"Washington, D.C.",NL East,2500000,24
Kelly Johnson,Tampa Bay Rays,Second baseman,Florida,AL East,2450000,30
Matt Joyce,Tampa Bay Rays,Right fielder,Florida,AL East,2450000,27
Jed Lowrie,Oakland Athletics,Second baseman,California,AL West,2400000,28
Ryan Hanigan,Cincinnati Reds,Catcher,Ohio,NL Central,2350000,31
Gerardo Parra,Arizona Diamondbacks,Outfielder,Arizona,NL West,2350000,25
Ross Detwiler,Washington Nationals,Starting pitcher,"Washington, D.C.",NL East,2337500,26
Craig Breslow,Boston Red Sox,Bullpen,Massachusetts,AL East,2325000,31
Matt Lindstrom,Chicago White Sox,Bullpen,Illinois,AL Central,2300000,32
Chris Johnson,Atlanta Braves,Third baseman,Georgia,NL East,2287500,27
Tyler Colvin,Colorado Rockies,Outfielder,Colorado,NL West,2275000,26
Mike Aviles,Cleveland Indians,Utility,Ohio,AL Central,2250000,31
Nate Schierholtz,Chicago Cubs,Right fielder,Illinois,NL Central,2250000,28
Mike Gonzalez,Milwaukee Brewers,Bullpen,Wisconsin,NL Central,2250000,34
Nick Hundley,San Diego Padres,Catcher,California,NL West,3000000,28
Jason Marquis,San Diego Padres,Starting pitcher,California,NL West,3000000,33
Alex Avila,Detroit Tigers,Catcher,Michigan,AL Central,2950000,25
Ryan Roberts,Tampa Bay Rays,Utility,Florida,AL East,2950000,31
Gordon Beckham,Chicago White Sox,Second baseman,Illinois,AL Central,2925000,25
Daniel Murphy,New York Mets,Second baseman,New York,NL East,2925000,27
Carlos Pena,Houston Astros,First baseman,Texas,AL West,2900000,34
Neftali Feliz,Texas Rangers,Starting pitcher,Texas,AL West,2900000,24
Hiroyuki Nakajima,Oakland Athletics,Shortstop,California,AL West,2875000,30
Brett Gardner,New York Yankees,Left fielder,New York,AL East,2850000,28
J.P. Howell,Los Angeles Dodgers,Bullpen,California,NL West,2850000,29
Drew Stubbs,Cleveland Indians,Center fielder,Ohio,AL Central,2825000,27
Dayan Viciedo,Chicago White Sox,Left fielder,Illinois,AL Central,2800000,23
Wade Davis,Kansas City Royals,Starting pitcher,Missouri,AL Central,2800000,26
Luke Scott,Tampa Bay Rays,Designated hitter,Florida,AL East,2750000,34
Sergio Santos,Toronto Blue Jays,Bullpen,Toronto,AL East,2750000,29
Raul Ibanez,Seattle Mariners,Left fielder,Washington,AL West,2750000,40
Geovany Soto,Texas Rangers,Catcher,Texas,AL West,2750000,29
Tom Gorzelanny,Milwaukee Brewers,Bullpen,Wisconsin,NL Central,2750000,29
Adeiny Hechavarria,Miami Marlins,Shortstop,Florida,NL East,2750000,23
Placido Polanco,Miami Marlins,Third baseman,Florida,NL East,2750000,36
Dustin Ackley,Seattle Mariners,Second baseman,Washington,AL West,2700000,24
Will Venable,San Diego Padres,Right fielder,California,NL West,2675000,29
Alfredo Aceves,Boston Red Sox,Bullpen,Massachusetts,AL East,2650000,29
Jeff Samardzija,Chicago Cubs,Starting pitcher,Illinois,NL Central,2640000,27
Emilio Bonifacio,Toronto Blue Jays,Utility,Toronto,AL East,2600000,27
Kris Medlen,Atlanta Braves,Starting pitcher,Georgia,NL East,2600000,26
Evan Longoria,Tampa Bay Rays,Third baseman,Florida,AL East,2500018,26
Glen Perkins,Minnesota Twins,Closer,Minnesota,AL Central,2500000,29
Fernando Rodney,Tampa Bay Rays,Closer,Florida,AL East,2500000,35
Rajai Davis,Toronto Blue Jays,Outfielder,Toronto,AL East,2500000,31
Scott Hairston,Chicago Cubs,Outfielder,Illinois,NL Central,2500000,32
Jason Grilli,Pittsburgh Pirates,Closer,Pennsylvania,NL Central,2500000,35
Jeff Karstens,Pittsburgh Pirates,Starting pitcher,Pennsylvania,NL Central,2500000,29
Ty Wigginton,St. Louis Cardinals,Utility,Missouri,NL Central,2500000,34
John Lannan,Philadelphia Phillies,Starting pitcher,Pennsylvania,NL East,2500000,27
Drew Storen,Washington Nationals,Bullpen,"Washington, D.C.",NL East,2500000,24
Kelly Johnson,Tampa Bay Rays,Second baseman,Florida,AL East,2450000,30
Matt Joyce,Tampa Bay Rays,Right fielder,Florida,AL East,2450000,27
Jed Lowrie,Oakland Athletics,Second baseman,California,AL West,2400000,28
Ryan Hanigan,Cincinnati Reds,Catcher,Ohio,NL Central,2350000,31
Gerardo Parra,Arizona Diamondbacks,Outfielder,Arizona,NL West,2350000,25
Ross Detwiler,Washington Nationals,Starting pitcher,"Washington, D.C.",NL East,2337500,26
Craig Breslow,Boston Red Sox,Bullpen,Massachusetts,AL East,2325000,31
Matt Lindstrom,Chicago White Sox,Bullpen,Illinois,AL Central,2300000,32
Chris Johnson,Atlanta Braves,Third baseman,Georgia,NL East,2287500,27
Tyler Colvin,Colorado Rockies,Outfielder,Colorado,NL West,2275000,26
Mike Aviles,Cleveland Indians,Utility,Ohio,AL Central,2250000,31
